adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[99],1435275,en,24 Hours of Grace,"Grammy-nominated electronic artist ZHU is running out of time. Having bursted out of the dance scene in 2014 with his hit “Faded”, he finds himself a decade later at a musical crossroad. Steadily touring worldwide on the biggest stages with his band, he returns to San Francisco, a place where he grew up, to record his fourth studio album “Grace”. Inside this gothic cathedral, ZHU and his collaborators finish composing songs which are performed for an audience later that night.",22.407,,2025-03-13,24 Hours of Grace,False,0.0,0
False,/61EvNJYDQa3mTtbA4HLiy6iBLfP.jpg,"[37, 12]",1435766,fr,Dans l'Ombre de Marlow,,22.406,/3fYi5YpnIWftnhkmoHIvFPYDzHw.jpg,2025-03-13,Dans l'Ombre de Marlow,False,0.0,0
False,/qBwaMyVGjscDP1r0uAYkg88DDG6.jpg,"[53, 18]",1437237,it,Gioco pericoloso,"Giada and Carlo are a couple with great complicity and intimacy, while each of them pursues their own career with determination. The young and ambitious Peter fascinates Carlo, who introduces him to the family. However, when Giada sees Peter, she has an unexpected reaction and tries in every way to remove him from their home: he could bring out some unspeakable secret from her past. And yet, the truth always finds a way to come out.",22.404,/xQbyabXxKAS44yXb5BcNmInre5e.jpg,2025-03-13,Gioco pericoloso,False,0.0,0
False,/xsMydIb1kE5AaDeqS46fntOCpQK.jpg,[],1437438,hy,Մի անգամ դպրոցում 2: Վերջին Պահապանը,"Grandfather knows more than you can imagine, but no secret stays in the shadows forever. Dark clouds are gathering over the school, it's time to find out who will be the hero of this story...",22.402,/iHOgzKgdg8yKMTCz6IN47r1jzhv.jpg,2025-03-13,Once Upon a Time in School 2: The Last Guardian,False,0.0,0
False,/dgZx99O6QMNZgZpaep4OTog7FRE.jpg,"[35, 10749]",1438208,uk,Відпустка наосліп,"In the center of the plot is the story of a successful Kyiv businesswoman, who is respected by the management and hated by the entire team. So, to get a little rest from shefini, her subordinates send her on a forced vacation: to the top of the Ukrainian Carpathians. There, the heroine is waiting for a lot of surprises, adventures and unexpected acquaintances. This vacation turns the characters ' lives upside down and changes everything forever.",22.4,/rj6DNIRuhJvuP1cLA31NYtmLZGo.jpg,2025-03-13,Blind Vacation,False,0.0,0
False,,"[10751, 12]",1438502,kk,Қожа: Жаңа саяхат,Coming soon,22.399,/h8mgMiUTpvLpZyresQO8uRXB4RG.jpg,2025-03-13,Kozha: New adventure,False,0.0,0
False,/m7hhlBa2UBiXkQeOUxyBMl1jjeY.jpg,[35],1438696,es,Laia,"Laia needs help, so she decides to gather four mysterious characters for a meeting that quickly spirals out of control.",22.398,/tVLDSmIbXzqhUJfHFdzPOgINFF0.jpg,2025-03-13,Laia,False,0.0,0
False,,[],1438546,en,Angler,"Following the recent death of her sister Ivy, Violet cleans out Ivy’s apartment with the hope of finding some peace. She gets more than she bargained for when a mysterious camera reveals to Violet that Ivy’s troubles were more complicated than they initially appeared, suggesting that someone…or something… may have been behind her untimely end.",22.398,/c21YwjiFsVP0xYw6kx1msNmBRMX.jpg,2025-03-13,Angler,False,0.0,0
False,,"[35, 10751]",1440639,es,Última voluntad,A wealthy family gathers for the reading of Eduardo Tejada's will,22.394,/3xhwYGdZxnoI5JELuLZKs7TB1kd.jpg,2025-03-13,Last will,False,0.0,0
False,/2ta5MfmpxFSnSTOPno7sbdapgBN.jpg,[18],1442764,es,Epílogo,"A young man runs to try to get on the bus, he can't catch it so he has to wait for the next one; while he waits a girl accompanies him at the bus stop.",22.388,/ArCT2H6t1XnbNJDnzOoaD5Nf9bk.jpg,2025-03-13,Epílogo,False,0.0,0
